;PC Software:StarLab Version 2.11 Build 2
;Logged:21/10/2022 at 13:34:39
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 21/10/2022 at 13:34:39.238000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  3.990e-007 	
         0.200	  3.260e-004 	             	
         1.088	             	  4.000e-007 	
         1.200	  3.260e-004 	             	
         2.144	             	  4.020e-007 	
         2.200	  3.260e-004 	             	
         3.200	  3.260e-004 	  4.010e-007 	
         4.200	  3.260e-004 	             	
         4.288	             	  4.030e-007 	
         5.200	  3.270e-004 	             	
         5.344	             	  4.030e-007 	
         6.200	  3.260e-004 	             	
         6.400	             	  4.030e-007 	
         7.200	  3.260e-004 	             	
         7.489	             	  4.980e-007 	
         8.201	  3.260e-004 	             	
         8.545	             	  9.930e-007 	
         9.201	  3.240e-004 	             	
         9.601	             	  1.334e-006 	
        10.201	  3.230e-004 	             	
        10.657	             	  1.608e-006 	
        11.201	  3.230e-004 	             	
        11.681	             	  1.852e-006 	
        12.201	  3.220e-004 	             	
        12.737	             	  2.064e-006 	
        13.267	  3.210e-004 	             	
        13.792	             	  2.146e-006 	
        14.267	  3.200e-004 	             	
        14.816	             	  2.371e-006 	
        15.267	  3.200e-004 	             	
        15.873	             	  2.613e-006 	
        16.333	  3.080e-004 	             	
        16.928	             	  2.697e-006 	
        17.333	  3.080e-004 	             	
        17.952	             	  2.822e-006 	
        18.333	  3.070e-004 	             	
        19.008	             	  2.871e-006 	
        19.333	  3.080e-004 	             	
        20.064	             	  3.140e-006 	
        20.333	  3.180e-004 	             	
        21.152	             	  3.310e-006 	
        21.333	  3.180e-004 	             	
        22.208	             	  3.460e-006 	
