;PC Software:StarLab Version 2.11 Build 2
;Logged:28/10/2022 at 12:13:03
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)
;Channel C:Nova II Photodiode PD300-3W-v1 (s/n:928013)  NN2.17 (s/n:626171)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel C:Details
;Name:PD300-3W-v1
;Graph Color:RGB(51,204,51)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 28/10/2022 at 12:13:03.340000
  Timestamp   	  Channel A  	  Channel B  	  Channel C  	
         0.000	             	  2.384e-007 	             	
         0.042	             	             	  1.578e-007 	
         0.193	  3.080e-004 	             	             	
         1.088	             	  2.376e-007 	             	
         1.130	             	             	  1.565e-007 	
         1.193	  3.080e-004 	             	             	
         2.144	             	  2.386e-007 	             	
         2.186	             	             	  1.576e-007 	
         2.193	  3.080e-004 	             	             	
         3.194	  3.080e-004 	             	             	
         3.201	             	  2.388e-007 	             	
         3.243	             	             	  1.577e-007 	
         4.260	  3.080e-004 	             	             	
         4.289	             	  2.378e-007 	             	
         4.299	             	             	  1.586e-007 	
         5.322	             	             	  1.583e-007 	
         5.326	  3.080e-004 	             	             	
         5.345	             	  2.379e-007 	             	
         6.326	  3.080e-004 	             	             	
         6.378	             	             	  1.585e-007 	
         6.401	             	  2.381e-007 	             	
         7.326	  3.080e-004 	             	             	
         7.434	             	             	  1.587e-007 	
         7.489	             	  2.388e-007 	             	
         8.326	  3.080e-004 	             	             	
         8.458	             	             	  1.586e-007 	
         8.545	             	  2.387e-007 	             	
         9.326	  3.080e-004 	             	             	
         9.514	             	             	  1.587e-007 	
         9.601	             	  2.385e-007 	             	
        10.326	  3.080e-004 	             	             	
        10.570	             	             	  1.590e-007 	
        10.689	             	  2.387e-007 	             	
        11.326	  3.080e-004 	             	             	
        11.594	             	             	  1.590e-007 	
        11.744	             	  2.391e-007 	             	
        12.326	  3.080e-004 	             	             	
        12.650	             	             	  1.586e-007 	
        12.800	             	  2.391e-007 	             	
        13.326	  3.080e-004 	             	             	
        13.706	             	             	  1.588e-007 	
        13.888	             	  2.388e-007 	             	
        14.327	  3.080e-004 	             	             	
        14.762	             	             	  1.588e-007 	
        14.944	             	  2.379e-007 	             	
        15.392	  3.080e-004 	             	             	
        15.786	             	             	  1.592e-007 	
        16.000	             	  2.380e-007 	             	
        16.392	  3.080e-004 	             	             	
        16.842	             	             	  1.597e-007 	
        17.056	             	  2.380e-007 	             	
        17.392	  3.080e-004 	             	             	
        17.898	             	             	  1.589e-007 	
        18.080	             	  2.371e-007 	             	
        18.392	  3.080e-004 	             	             	
        18.921	             	             	  1.589e-007 	
        19.136	             	  2.383e-007 	             	
        19.392	  3.080e-004 	             	             	
        19.979	             	             	  1.604e-007 	
        20.193	             	  2.381e-007 	             	
        20.392	  3.080e-004 	             	             	
        21.034	             	             	  1.601e-007 	
        21.217	             	  2.382e-007 	             	
        21.392	  3.080e-004 	             	             	
        22.058	             	             	  1.604e-007 	
        22.273	             	  2.386e-007 	             	
        22.392	  3.080e-004 	             	             	
        23.114	             	             	  1.594e-007 	
        23.329	             	  2.379e-007 	             	
        23.392	  3.080e-004 	             	             	
        24.170	             	             	  1.590e-007 	
        24.353	             	  2.374e-007 	             	
        24.394	  3.080e-004 	             	             	
        25.258	             	             	  1.587e-007 	
        25.409	             	  2.363e-007 	             	
        25.459	  3.080e-004 	             	             	
        26.314	             	             	  1.593e-007 	
        26.459	  3.080e-004 	             	             	
        26.464	             	  2.375e-007 	             	
        27.370	             	             	  1.598e-007 	
        27.520	             	  2.378e-007 	             	
        27.525	  3.080e-004 	             	             	
        28.426	             	             	  1.608e-007 	
        28.525	  3.080e-004 	             	             	
        28.544	             	  2.383e-007 	             	
        29.450	             	             	  1.607e-007 	
        29.525	  3.080e-004 	             	             	
        29.600	             	  2.382e-007 	             	
        30.506	             	             	  1.601e-007 	
        30.525	  3.080e-004 	             	             	
        30.656	             	  2.383e-007 	             	
        31.525	  3.080e-004 	             	             	
        31.562	             	             	  1.600e-007 	
        31.680	             	  2.381e-007 	             	
        32.525	  3.080e-004 	             	             	
        32.586	             	             	  1.785e-007 	
        32.736	             	  8.250e-007 	             	
        33.525	  3.060e-004 	             	             	
        33.642	             	             	  1.837e-007 	
        33.792	             	  1.353e-006 	             	
        34.592	  3.050e-004 	             	             	
        34.697	             	             	  1.874e-007 	
        34.816	             	  1.809e-006 	             	
        35.657	  3.050e-004 	             	             	
        35.721	             	             	  1.910e-007 	
        35.872	             	  2.245e-006 	             	
        36.657	  3.050e-004 	             	             	
        36.777	             	             	  1.930e-007 	
        36.928	             	  2.517e-006 	             	
        37.658	  3.040e-004 	             	             	
        37.834	             	             	  1.952e-007 	
        38.017	             	  2.868e-006 	             	
        38.658	  3.030e-004 	             	             	
        38.890	             	             	  1.977e-007 	
